from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,9269424,9269348,1,
124,124,,,9269425,9269349,1,
124,124,,,9269427,9269351,1,
124,124,,,9269429,9269355,1,
124,124,,,9269431,9269357,1,
124,124,,,9269432,9269359,1,
124,124,,,9269434,9269361,1,
124,124,,,9269435,9269363,1,
124,124,,,9269437,9269365,1,
124,124,,,9269439,9269367,1,
124,124,,,9269441,9269369,1,
124,124,,,9269443,9269371,1,
124,124,,,9269445,9269373,1,
124,124,,,9269447,9269375,1,
124,124,,,9269449,9269377,1,
124,124,,,9269451,9269379,1,
124,124,,,9269455,9269383,1,
124,124,,,9269459,9269387,1,
124,124,,,9269463,9269391,1,
124,124,,,9269465,9269393,1,
124,124,,,9269467,9269395,1,
124,124,,,9269469,9269397,1,
124,124,,,9269471,9269399,1,
124,124,,,9269475,9269403,1,
124,124,,,9269478,9269407,1,
124,124,,,9269481,9269411,1,
124,124,,,9269521,9269411,1,
124,124,,,9269484,9269413,1,
124,124,,,9269486,9269415,1,
124,124,,,9269488,9269417,1,
140,140,,,9269544,9269421,1,
124,124,,,9269491,9269427,1,
124,124,,,9269352,9269428,1,
124,124,,,9269493,9269429,1,
124,124,,,9269356,9269430,1,
124,124,,,9269495,9269432,1,
131,131,,,9269529,9269432,1,
140,140,,,9269542,9269432,1,
124,124,,,9269360,9269433,1,
124,124,,,9269497,9269435,1,
124,124,,,9269364,9269436,1,
124,124,,,9269499,9269439,1,
124,124,,,9269368,9269440,1,
124,124,,,9269501,9269443,1,
131,131,,,9269531,9269443,1,
140,140,,,9269544,9269443,1,
124,124,,,9269372,9269444,1,
124,124,,,9269503,9269447,1,
124,124,,,9269376,9269448,1,
124,124,,,9269505,9269451,1,
124,124,,,9269380,9269452,1,
124,124,,,9269382,9269454,1,
124,124,,,9269507,9269455,1,
131,131,,,9269533,9269455,1,
140,140,,,9269546,9269455,1,
124,124,,,9269384,9269456,1,
124,124,,,9269386,9269458,1,
124,124,,,9269509,9269459,1,
124,124,,,9269388,9269460,1,
124,124,,,9269390,9269462,1,
124,124,,,9269511,9269463,1,
124,124,,,9269392,9269464,1,
124,124,,,9269394,9269466,1,
124,124,,,9269513,9269467,1,
131,131,,,9269535,9269467,1,
